# series_id: CHINA_CA_CUMULATIVE
# description: China CA surplus cumulative (not in PBOC reserves), $B, literature
# generated: 2026-03-31T23:07:33.816865+00:00
# rows: 7
#
date,cumulative_bn,citation,series_id,unit,is_correct_for_slr_hypothesis,note
2019-12-31,0,Setser thread Mar 25 2026: baseline,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2020-12-31,310,IMF WEO Oct 2024: China CA ~$310B in 2020,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2021-12-31,660,IMF WEO: China CA ~$350B in 2021,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2022-12-31,1080,"Setser thread: '~$420B in 2022, record high'",CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2023-12-31,1330,Setser thread: ~$250B in 2023,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2024-12-31,2330,Bloomberg Jan 16 2026: '$1.2T trade windfall 2024'; Setser: bank outflows $400B/4Q,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
2025-09-30,2670,Setser thread Mar 27 2026: Q4 2025 $170B bank outflow alone; partial-year extrapolation,CHINA_CA_CUMULATIVE,USD billions,,Cumulative CA surplus not reflected in PBOC reserves. Literature compilation.
